,Cost Center,Employee ID,Payroll Code,Hiring Period,FT-PT Status
56185,DHU,A695309,ATW,JUL,PT
56186,NLG,Z903786,BTW,DEC,FT
56187,AOO,C529875,ADM,JAN,PT
56188,ACJ,X047530,ATW,AUG,PT
56189,ULO,X144477,BTW,JUN,PT
56190,GDP,Z404452,BTW,MAY,PT
56191,ACJ,W192165,BTW,NOV,PT
56192,DHU,X908428,ATW,AUG,FT
56193,QCU,H241667,ATW,FEB,PT
56194,YTE,A016810,BTW,SEP,PT
56195,ULO,Y119170,ATW,JUL,FT
56196,ULO,K015729,BTW,JUL,PT
56197,ESX,T696491,BTW,OCT,FT
56198,AOO,A300609,BTW,AUG,PT
56199,LNX,W802808,BTW,JUN,PT
56200,AHS,U991239,BTW,APR,PT
56201,CLD,M336378,BTW,MAY,FT
56202,ULO,X751890,BTW,APR,FT
56203,NLG,A600066,BTW,DEC,PT
56204,NLG,W041878,ADM,APR,PT
56205,DOI,M474299,ATW,FEB,PT
56206,LNX,P325306,ATW,AUG,FT
56207,AHS,L122014,ADM,SEP,PT
56208,CLD,E752680,ATW,OCT,FT
56209,OZG,R008472,BTW,JAN,PT
56210,ESX,L107247,ATW,MAY,PT
56211,DOI,D615913,ATW,MAY,PT
56212,ESX,N837918,BTW,MAY,FT
56213,OZG,C670870,ATW,MAR,PT
56214,NLG,M688931,ATW,APR,FT
56215,BJZ,Y568225,BTW,JAN,FT
56216,ESX,C847514,BTW,MAY,PT
56217,OZG,K758346,ADM,APR,FT
56218,ACJ,D514001,BTW,APR,PT
56219,ACJ,P755165,BTW,MAR,PT
56220,LNX,S572111,BTW,JAN,PT
56221,LNX,Q829992,BTW,JUL,PT
56222,ULO,U932877,ATW,FEB,PT
56223,DOI,A934216,BTW,FEB,PT
56224,BJZ,O212793,BTW,FEB,FT
56225,AOO,H642643,BTW,DEC,FT
56226,LNX,E206544,ATW,OCT,PT
56227,QCU,I024609,ATW,APR,PT
56228,ESO,U615982,BTW,DEC,FT
56229,YTE,T320471,ATW,JAN,FT
56230,GDP,L379466,ATW,MAY,PT
56231,ESO,G161422,ATW,JAN,FT
56232,AOO,F664574,ATW,SEP,FT
56233,DOI,M465354,BTW,OCT,FT
56234,ESX,R315677,ADM,FEB,PT
56235,ACJ,N428411,ATW,APR,FT
56236,ULO,V519358,BTW,AUG,FT
56237,GDP,Y333323,ADM,MAY,FT
56238,AHS,J829007,ATW,OCT,PT
56239,QCU,N807375,ATW,APR,FT
56240,DHU,R663174,ADM,JAN,PT
56241,YTE,S590585,ATW,MAR,PT
56242,ULO,Y996770,ATW,AUG,PT
56243,YTE,B340571,BTW,FEB,PT
56244,OZG,O490847,ATW,DEC,FT
56245,LNX,K238889,ATW,FEB,PT
56246,ESO,K341333,BTW,APR,PT
56247,DHU,J388786,ATW,APR,PT
56248,CLD,B913164,ADM,JUN,FT
56249,QCU,Y682473,ATW,MAR,PT
56250,ULO,M400357,ATW,JAN,PT
56251,DHU,U403077,BTW,MAY,PT
56252,BJZ,Z161177,ATW,OCT,FT
56253,QCU,Q111248,ATW,JUN,PT
56254,ESX,O583812,ATW,JUN,PT
56255,ESO,P677528,ATW,AUG,FT
56256,ACJ,G234306,ATW,JUN,PT
56257,BJZ,Z016898,ADM,MAR,PT
56258,NLG,P827053,BTW,OCT,PT
56259,NLG,G414931,BTW,DEC,PT
56260,QCU,K482171,BTW,JAN,PT
56261,YTE,Y754249,ATW,OCT,PT
56262,QCU,N935630,ATW,AUG,PT
56263,ESX,O627122,BTW,JAN,PT
56264,ESX,W143112,ATW,DEC,PT
56265,QCU,T266969,ADM,MAY,PT
56266,AHS,C117714,ATW,MAR,PT
56267,CLD,K027055,BTW,NOV,FT
56268,ACJ,X847607,ATW,DEC,PT
56269,ACJ,B792167,ATW,FEB,PT
56270,CLD,F242705,BTW,JUL,PT
56271,ESX,I794980,BTW,JAN,PT
56272,AHS,V591605,ATW,JUN,PT
56273,QCU,N206878,ATW,JUN,PT
56274,QCU,P279147,ATW,APR,FT
56275,LNX,C405245,BTW,JAN,FT
56276,ULO,L213705,ATW,FEB,PT
56277,YTE,K820645,BTW,JUN,FT
56278,DOI,W139647,ADM,MAR,PT
56279,ESO,W552817,ATW,JUL,FT
56280,LNX,A361605,BTW,JAN,PT
56281,CLD,Z017220,BTW,JAN,PT
56282,ULO,G823891,ATW,MAR,FT
56283,GDP,I813106,ATW,DEC,FT
56284,ACJ,R689109,BTW,APR,FT
56285,GDP,D024470,ATW,OCT,FT
56286,ESX,K003755,BTW,DEC,PT
56287,ULO,K437565,BTW,AUG,PT
56288,ESX,L019978,ATW,OCT,FT
56289,ACJ,E554949,BTW,JUL,FT
56290,AOO,B789046,BTW,SEP,PT
56291,ESO,B365316,ATW,NOV,PT
56292,NLG,M054431,ATW,FEB,FT
56293,BJZ,W304811,ADM,JUN,PT
56294,ESO,L000812,BTW,DEC,FT
56295,LNX,E558989,BTW,SEP,PT
56296,ULO,L853582,ADM,NOV,FT
56297,YTE,V332674,ATW,NOV,PT
56298,ESO,L296883,ATW,JAN,PT
56299,DOI,W350048,ADM,JAN,PT
56300,GDP,G420844,ATW,NOV,FT
56301,ACJ,T202848,ADM,MAY,PT
56302,DOI,O590114,ATW,SEP,PT
56303,AOO,Z093689,BTW,JAN,PT
56304,AOO,K637473,ATW,MAR,PT
56305,GDP,U444746,BTW,NOV,FT
56306,LNX,N180361,BTW,MAY,PT
56307,NLG,C575641,BTW,NOV,PT
56308,NLG,L951792,ADM,APR,PT
56309,AHS,H733824,ATW,APR,FT
56310,BJZ,B907029,BTW,JAN,PT
56311,OZG,J099002,BTW,JUN,FT
56312,OZG,C008501,BTW,MAY,PT
56313,ACJ,E203051,ATW,JUL,PT
56314,DHU,E753549,BTW,JUL,PT
56315,DHU,G744891,ADM,JAN,PT
56316,CLD,E819115,ATW,AUG,PT
56317,LNX,O860223,ATW,AUG,FT
56318,ESO,J847006,ATW,JAN,FT
56319,AOO,H784845,BTW,OCT,FT
56320,QCU,T339797,ATW,JAN,FT
56321,ULO,U042667,ATW,MAR,FT
56322,DOI,G079018,ATW,JUN,FT
56323,BJZ,A315584,BTW,FEB,PT
56324,DHU,B673855,BTW,JUN,PT
56325,YTE,T199111,ATW,MAY,FT
56326,ESO,T319852,BTW,JAN,FT
56327,AOO,P255881,ATW,FEB,FT
56328,ESO,X080767,ATW,APR,PT
56329,ESO,D392419,BTW,MAY,PT
56330,DHU,W068457,ATW,SEP,PT
56331,OZG,C673326,BTW,OCT,FT
56332,DOI,J474937,BTW,DEC,PT
56333,DOI,Y734576,BTW,JAN,FT
56334,LNX,Q957062,BTW,SEP,PT
56335,QCU,M397520,ATW,APR,FT
56336,NLG,S318703,ATW,APR,PT
56337,BJZ,U049339,BTW,MAY,PT
56338,DHU,L899360,ATW,FEB,FT
56339,BJZ,M926252,ADM,DEC,PT
56340,ULO,N936044,ATW,JUN,FT
56341,ESO,N494003,BTW,SEP,PT
56342,YTE,I004339,BTW,JAN,PT
56343,AHS,S456209,BTW,AUG,PT
56344,GDP,R450402,ATW,NOV,FT
56345,AHS,F152091,ATW,FEB,PT
56346,DOI,Q783713,ATW,SEP,PT
56347,DOI,A424204,ADM,OCT,FT
56348,ACJ,I704699,ATW,DEC,PT
56349,LNX,C381820,BTW,JUL,FT
56350,BJZ,C096953,ATW,MAY,FT
56351,AOO,C832990,ATW,NOV,PT
56352,GDP,X368900,ADM,JUL,PT
56353,ULO,M452078,BTW,NOV,PT
56354,ACJ,M474616,ATW,DEC,PT
56355,ESO,V365729,BTW,MAY,PT
56356,BJZ,I066833,ATW,JUL,FT
56357,AHS,Q741746,BTW,MAR,FT
56358,ESX,F585996,BTW,APR,PT
56359,DHU,G928949,BTW,APR,PT
56360,ACJ,I470585,BTW,OCT,PT
56361,OZG,W009778,BTW,JAN,PT
56362,YTE,U473432,ADM,FEB,PT
56363,ULO,M379344,BTW,SEP,PT
56364,LNX,X078414,BTW,MAY,PT
56365,ESO,M910844,ATW,SEP,PT
56366,GDP,Q726075,BTW,MAR,PT
56367,QCU,T618403,ATW,OCT,PT
56368,ACJ,Z852589,BTW,MAY,PT
56369,ESO,Z163254,BTW,NOV,FT
56370,AOO,F738930,ATW,APR,PT
56371,NLG,L221945,BTW,JUN,PT
56372,AOO,N206296,BTW,APR,PT
56373,AHS,U685153,ATW,SEP,FT
56374,CLD,Q955677,ADM,JAN,PT
56375,ESO,G653735,BTW,JAN,PT
56376,ACJ,T546292,BTW,JUL,PT
56377,GDP,A896271,BTW,DEC,PT
56378,LNX,E799697,ATW,MAY,PT
56379,ULO,V601307,ATW,FEB,FT
56380,LNX,O891700,BTW,JUL,FT
56381,QCU,J565946,ADM,MAY,PT
56382,ULO,O496172,ATW,JAN,PT
56383,OZG,B197596,ADM,MAR,PT
56384,ACJ,E487931,ATW,JUN,PT
56385,BJZ,O253053,ATW,DEC,PT
56386,OZG,Y356810,BTW,OCT,PT
56387,DHU,H357423,ATW,FEB,PT
56388,ULO,D861352,ADM,APR,PT
56389,YTE,O794943,ATW,NOV,FT
56390,ESX,N420377,BTW,AUG,FT
56391,OZG,L372964,ADM,AUG,PT
56392,DHU,B510046,ATW,APR,PT
56393,DHU,L838628,BTW,NOV,PT
56394,CLD,S219054,BTW,OCT,PT
56395,ESX,H576412,BTW,JAN,FT
56396,NLG,T069611,BTW,NOV,PT
56397,DOI,U596436,BTW,JAN,PT
56398,YTE,D614071,ATW,SEP,FT
56399,BJZ,W529406,ATW,APR,PT
56400,OZG,V605584,BTW,MAY,FT
56401,AOO,D608238,BTW,JAN,PT
56402,CLD,V096491,BTW,FEB,PT
56403,CLD,H130321,ADM,DEC,PT
56404,NLG,T321864,BTW,JUN,FT
56405,ACJ,E381369,BTW,AUG,FT
56406,ULO,T622257,ATW,APR,PT
56407,CLD,M438350,ADM,SEP,PT
56408,ACJ,R347048,BTW,NOV,PT
56409,QCU,G485320,BTW,DEC,PT
56410,YTE,P433411,ATW,JUN,PT
56411,QCU,E529872,ATW,OCT,PT
56412,DOI,X229097,ATW,DEC,FT
56413,ESX,D657453,BTW,NOV,FT
56414,DOI,G562806,ATW,AUG,PT
56415,QCU,H198272,ATW,DEC,PT
56416,ESO,P357739,ATW,OCT,FT
56417,ULO,S454604,ATW,JUN,FT
56418,CLD,B607114,BTW,JAN,PT
56419,ESO,B081368,ATW,MAY,PT
56420,OZG,R225155,BTW,JUL,PT
56421,YTE,P670538,ATW,NOV,PT
56422,NLG,A249529,ADM,JUL,FT
56423,YTE,T226523,ATW,OCT,FT
56424,ACJ,G575412,BTW,AUG,PT
56425,CLD,T740442,BTW,JUN,PT
56426,CLD,S520438,BTW,FEB,PT
56427,OZG,U001174,ATW,SEP,PT
56428,ESX,E714754,ATW,OCT,FT
56429,ESX,R131404,ATW,JUN,PT
56430,ESO,W822369,ATW,JAN,PT
56431,NLG,I140323,ATW,DEC,PT
56432,YTE,M659992,ATW,JAN,PT
56433,DOI,P183751,ATW,SEP,FT
56434,AOO,H086540,ATW,DEC,PT
56435,ACJ,M428691,ATW,MAR,PT
56436,NLG,T612238,ADM,AUG,FT
56437,GDP,Z727064,BTW,AUG,FT
56438,DHU,N216516,BTW,MAY,PT
56439,NLG,W812199,BTW,SEP,FT
56440,DHU,I085833,ATW,DEC,PT
56441,AOO,V031208,BTW,FEB,PT
56442,CLD,U321514,ATW,JUL,FT
56443,ESX,W835916,BTW,JUN,PT
56444,DHU,R323278,BTW,JUN,FT
56445,CLD,P417303,ATW,NOV,PT
56446,DHU,H150993,ATW,FEB,PT
56447,ESX,N902733,BTW,MAR,PT
56448,DOI,E970179,ATW,DEC,FT
56449,DOI,K492430,ATW,FEB,FT
56450,AHS,V090636,ADM,APR,FT
56451,ACJ,B153007,ATW,SEP,FT
56452,QCU,K487247,BTW,AUG,PT
56453,YTE,C357972,BTW,APR,PT
56454,QCU,D667514,ATW,AUG,PT
56455,NLG,K119200,BTW,JUL,PT
56456,ESO,Q458268,BTW,OCT,PT
56457,ESO,N072630,BTW,JUL,FT
56458,AOO,I450580,BTW,JAN,PT
56459,BJZ,P483597,BTW,SEP,PT
56460,ACJ,O322951,BTW,APR,PT
56461,GDP,O613619,BTW,JAN,FT
56462,CLD,U188015,BTW,JAN,PT
56463,QCU,P989973,ATW,OCT,PT
56464,QCU,D362423,ATW,APR,PT
56465,ESO,N747786,BTW,SEP,FT
56466,ACJ,T711007,ATW,NOV,PT
56467,GDP,T033764,BTW,OCT,FT
56468,AHS,V216643,ATW,FEB,PT
56469,CLD,B956098,ATW,DEC,FT
56470,CLD,J178581,ATW,JUN,PT
56471,NLG,V345550,ATW,AUG,FT
56472,ESX,X623383,ATW,JUN,FT
56473,AOO,A941668,ATW,MAY,FT
56474,YTE,R946153,ADM,DEC,PT
56475,ESX,F913780,ATW,JUL,PT
56476,DHU,Z134595,ADM,JUN,PT
56477,ACJ,P177322,ATW,MAR,PT
56478,QCU,W104016,BTW,NOV,PT
56479,AHS,Z839358,ATW,OCT,PT
56480,BJZ,E091389,ADM,AUG,PT
56481,DHU,U489340,ATW,JUN,PT
56482,NLG,Q524580,ATW,JUN,PT
56483,ACJ,B680644,ATW,JUL,PT
56484,CLD,X392860,BTW,AUG,PT
56485,CLD,I511169,ATW,MAR,FT
56486,YTE,L538838,BTW,JUL,PT
56487,AOO,T436217,ADM,MAR,PT
56488,CLD,J377909,BTW,NOV,PT
56489,YTE,R557385,ADM,OCT,PT
56490,BJZ,C240433,BTW,JUL,PT
56491,LNX,W228471,ADM,APR,PT
56492,ULO,G636317,ATW,OCT,PT
56493,ACJ,E445464,ADM,DEC,FT
56494,QCU,H021968,BTW,JUL,FT
56495,DHU,E693027,ATW,JUN,FT
56496,OZG,Z126436,BTW,APR,FT
56497,OZG,D952429,ATW,OCT,PT
56498,QCU,N887773,ATW,MAY,PT
56499,DOI,H341947,BTW,JUL,PT
56500,ESO,V483677,ADM,JUN,PT
56501,AHS,X146809,BTW,JAN,FT
56502,CLD,G006208,ADM,OCT,PT
56503,OZG,Z866029,ATW,JUN,FT
56504,ACJ,N263381,ATW,DEC,FT
56505,OZG,V630875,ATW,JAN,PT
56506,ACJ,Y703062,BTW,JUL,PT
56507,ACJ,A631850,ATW,NOV,PT
56508,BJZ,N398442,BTW,SEP,FT
56509,LNX,G191257,ADM,MAY,PT
56510,ESO,D792611,BTW,MAR,PT
56511,DOI,K385073,ATW,MAY,PT
56512,GDP,J552380,BTW,AUG,PT
56513,CLD,X136451,ADM,OCT,PT
56514,YTE,Z201002,BTW,FEB,PT
56515,DOI,Y954040,BTW,SEP,PT
56516,GDP,U607866,BTW,DEC,PT
56517,LNX,M777216,ATW,AUG,PT
56518,ESX,G950354,ATW,NOV,FT
56519,DOI,P701963,ATW,MAY,PT
56520,AHS,O077512,ATW,SEP,PT
56521,YTE,F626407,ATW,JUN,FT
56522,ESO,S427255,ADM,MAR,PT
56523,GDP,M325209,ADM,NOV,PT
56524,LNX,C450522,ATW,JUL,PT
56525,NLG,A508985,ATW,JAN,PT
56526,AOO,N143603,BTW,JAN,PT
56527,BJZ,R788625,ATW,JUN,FT
56528,DHU,I156493,BTW,SEP,PT
56529,ESO,C028627,ATW,MAY,FT
56530,LNX,O770699,ADM,JUL,FT
56531,YTE,I890177,ATW,SEP,PT
56532,LNX,J663730,BTW,MAY,PT
56533,CLD,N253833,ATW,MAY,PT
56534,AOO,Q200834,BTW,NOV,FT
56535,ACJ,I170808,BTW,FEB,FT
56536,DOI,F131237,BTW,MAR,PT
56537,ESO,F801151,BTW,OCT,PT
56538,CLD,T932865,BTW,APR,PT
56539,GDP,I614082,ATW,MAY,FT
56540,DHU,T916305,ATW,DEC,FT
56541,ESX,D491551,ATW,OCT,PT
56542,YTE,G325863,ADM,MAR,PT
56543,DOI,A962265,BTW,NOV,PT
56544,ESX,S650441,ATW,APR,PT
56545,YTE,W767560,ATW,JUN,FT
56546,QCU,W976110,ATW,JUN,PT
56547,ULO,V577641,BTW,AUG,PT
56548,ULO,S137464,BTW,AUG,PT
56549,LNX,F008491,BTW,JAN,FT
56550,AOO,N206772,BTW,APR,FT
56551,DOI,L109110,BTW,AUG,PT
56552,DHU,M572813,ATW,JAN,FT
56553,YTE,J791042,BTW,JAN,FT
56554,GDP,C599185,ATW,JAN,PT
56555,BJZ,B563341,ATW,NOV,PT
56556,ACJ,V386291,BTW,DEC,PT
56557,ULO,H302317,ATW,APR,FT
56558,NLG,K398473,BTW,AUG,FT
56559,GDP,W339016,ATW,FEB,FT
56560,OZG,W540434,ADM,MAR,PT
56561,AHS,T438249,BTW,FEB,PT
56562,AOO,P570216,ADM,SEP,FT
56563,ESX,G329602,ATW,OCT,PT
56564,OZG,O019581,BTW,OCT,PT
56565,ESX,Q547241,ATW,FEB,PT
56566,QCU,M974878,BTW,MAY,PT
56567,DHU,K864143,ATW,JUL,PT
56568,QCU,X092481,BTW,JUN,PT
56569,ESX,J037467,BTW,FEB,PT
56570,ESX,O468746,ATW,DEC,PT
56571,QCU,F649861,BTW,SEP,PT
56572,AOO,A248397,ADM,FEB,PT
56573,OZG,Z954307,BTW,MAY,FT
56574,DHU,G131717,BTW,NOV,FT
56575,ACJ,Y090845,ATW,DEC,PT
56576,OZG,X250493,ATW,JUN,PT
56577,OZG,B497758,ATW,MAR,PT
56578,ULO,I710021,ATW,JUN,PT
56579,CLD,B139406,ATW,FEB,FT
56580,LNX,K158863,ATW,NOV,FT
56581,NLG,W256355,ADM,JUL,FT
56582,CLD,V670614,ATW,MAR,PT
56583,ESO,Y756176,ATW,DEC,PT
56584,DHU,K608472,ATW,MAY,PT
56585,AHS,N160463,ADM,OCT,PT
56586,YTE,S498689,BTW,AUG,PT
56587,AHS,Q879781,BTW,DEC,FT
56588,ACJ,Q294988,ATW,JAN,FT
56589,LNX,K881328,ATW,NOV,PT
56590,CLD,K859592,ATW,FEB,PT
56591,CLD,W845611,BTW,AUG,FT
56592,OZG,G671019,BTW,NOV,PT
56593,ACJ,L646230,ATW,APR,PT
56594,DHU,E212967,BTW,NOV,PT
56595,YTE,N313119,BTW,AUG,PT
56596,YTE,N366007,ADM,OCT,FT
56597,DHU,D177203,ADM,NOV,PT
56598,NLG,L255186,ATW,APR,PT
56599,OZG,Y690639,BTW,DEC,PT
56600,DOI,H519960,BTW,APR,PT
56601,LNX,Z647854,BTW,NOV,PT
56602,LNX,Q934819,BTW,DEC,PT
56603,ACJ,G536923,BTW,JUL,PT
56604,NLG,K557452,BTW,MAR,FT
56605,GDP,T070804,ATW,JUL,PT
56606,GDP,A563093,ATW,JAN,FT
56607,ESX,X901995,ATW,JAN,FT
56608,LNX,T550662,ATW,DEC,PT
56609,LNX,K459838,BTW,NOV,FT
56610,LNX,U556741,BTW,OCT,PT
56611,QCU,D835284,ADM,JUL,PT
56612,GDP,V464695,ATW,MAR,PT
56613,CLD,W757229,BTW,OCT,PT
56614,GDP,T614331,ATW,FEB,FT
56615,ESO,B656381,BTW,MAY,FT
56616,QCU,C824217,BTW,MAY,PT
56617,QCU,F632287,BTW,JUL,FT
56618,ULO,L335472,BTW,JAN,PT
56619,DHU,E051272,BTW,NOV,FT
56620,CLD,F417762,BTW,SEP,PT
56621,NLG,U956872,BTW,APR,PT
56622,YTE,R223465,ATW,JAN,PT
56623,ULO,T210981,ATW,NOV,FT
56624,YTE,Y324654,ATW,SEP,PT
56625,ACJ,T372211,ADM,SEP,PT
56626,AHS,S639209,BTW,NOV,PT
56627,NLG,U518486,ADM,SEP,FT
56628,BJZ,H331927,BTW,JUN,FT
56629,YTE,T610778,BTW,APR,FT
56630,BJZ,A724323,ATW,MAR,PT
56631,LNX,T124692,BTW,MAR,PT
56632,ACJ,X029342,BTW,MAR,FT
56633,LNX,A326960,ATW,MAR,PT
56634,LNX,O722966,ATW,OCT,PT
56635,OZG,O018678,ATW,DEC,FT
56636,QCU,E657359,BTW,APR,PT
56637,ACJ,W639041,ATW,JUL,PT
56638,AOO,E171916,BTW,DEC,PT
56639,YTE,G333284,BTW,DEC,PT
56640,AOO,E326031,ATW,MAR,PT
56641,YTE,D745740,BTW,APR,FT
56642,DOI,H756882,ATW,OCT,PT
56643,ULO,F856388,ATW,AUG,PT
56644,DOI,Q820398,BTW,JUL,FT
56645,YTE,O164721,ATW,NOV,PT
56646,DHU,S144469,ADM,FEB,FT
56647,ACJ,A094940,ATW,JUL,PT
56648,QCU,V292457,ATW,JUL,PT
56649,BJZ,N605405,ATW,APR,PT
56650,GDP,Z489957,BTW,MAY,PT
56651,ACJ,E748849,BTW,JAN,FT
56652,LNX,E339950,ATW,FEB,FT
56653,YTE,J139226,BTW,OCT,PT
56654,BJZ,X960445,ATW,MAY,PT
56655,AHS,J013512,ATW,APR,PT
56656,ACJ,U425933,BTW,JAN,PT
56657,CLD,E098078,BTW,APR,PT
56658,BJZ,R203980,ATW,APR,PT
56659,OZG,S626612,BTW,MAR,FT
56660,DHU,Y166527,ATW,JUL,PT
56661,QCU,S322366,BTW,DEC,PT
56662,ACJ,M849028,BTW,NOV,PT
56663,YTE,J805530,ATW,JUL,FT
56664,ESO,S924824,ATW,FEB,PT
56665,ESX,Y630895,ATW,FEB,PT
56666,OZG,S605680,BTW,JAN,PT
56667,DOI,Z509996,ADM,SEP,FT
56668,AOO,D024411,BTW,APR,PT
56669,ESO,L520733,BTW,MAY,PT
56670,GDP,S572158,ATW,SEP,PT
56671,ULO,S800437,ATW,APR,PT
56672,BJZ,N045450,ATW,OCT,PT
56673,CLD,H886238,ATW,APR,PT
56674,NLG,Q269151,ATW,JAN,PT
56675,CLD,W642064,ATW,DEC,PT
56676,AHS,E373648,BTW,OCT,PT
56677,AOO,H389284,BTW,DEC,PT
56678,AHS,O596315,BTW,AUG,PT
56679,DOI,C705724,ATW,JAN,PT
56680,BJZ,X890918,BTW,MAR,PT
56681,AOO,K510002,BTW,APR,PT
56682,QCU,X006301,ATW,JAN,FT
56683,NLG,M990410,ADM,OCT,FT
56684,AOO,W386545,BTW,JUN,PT
56685,CLD,S100268,BTW,JUL,PT
56686,DOI,A805061,ADM,AUG,FT
56687,DOI,E931028,BTW,SEP,PT
56688,DHU,N223669,ATW,JAN,PT
56689,OZG,N390474,ATW,MAY,PT
56690,ESX,G000856,ATW,NOV,FT
56691,DHU,I981765,ATW,MAY,PT
56692,DHU,Q532935,ADM,FEB,PT
56693,ESX,W634778,BTW,DEC,FT
56694,DOI,V706620,ATW,JUN,PT
56695,OZG,Q044069,BTW,APR,PT
56696,BJZ,R808345,BTW,AUG,PT
56697,ESX,O637729,ATW,OCT,FT
56698,BJZ,K874249,BTW,MAY,PT
56699,ACJ,S028432,ATW,NOV,PT
56700,ACJ,Y515130,BTW,MAR,PT
56701,AHS,D525368,ATW,FEB,PT
56702,LNX,B421228,BTW,MAY,PT
56703,ACJ,R471091,ATW,AUG,PT
56704,LNX,X260101,ATW,DEC,PT
56705,CLD,J815703,ATW,JUN,PT
56706,ESO,R011741,BTW,OCT,PT
56707,DHU,V528675,BTW,NOV,FT
56708,GDP,O739121,BTW,SEP,PT
56709,ULO,P658978,BTW,MAR,PT
56710,LNX,X273626,ATW,OCT,FT
56711,OZG,J871863,ATW,AUG,PT
56712,AHS,O085170,ADM,JUN,FT
56713,OZG,H986711,ATW,AUG,PT
56714,NLG,D289285,ADM,OCT,PT
56715,GDP,X541179,ATW,NOV,PT
56716,CLD,E012056,ATW,JUL,FT
56717,YTE,H114486,BTW,APR,PT
56718,DHU,B806634,ATW,JAN,PT
56719,BJZ,X176010,ATW,NOV,FT
56720,BJZ,T041933,ADM,AUG,FT
56721,AOO,N607273,BTW,AUG,PT
56722,YTE,V136691,ATW,JAN,FT
56723,DHU,U569878,ATW,FEB,PT
56724,ULO,V890878,BTW,MAR,PT
56725,AHS,K517882,BTW,FEB,FT
56726,BJZ,Q525869,BTW,MAY,FT
56727,NLG,A246785,BTW,MAY,PT
56728,LNX,J377294,ATW,SEP,FT
56729,AOO,H808906,BTW,SEP,PT
56730,QCU,F517462,BTW,MAY,PT
56731,ACJ,X353332,ATW,JUN,PT
56732,DOI,B289766,ATW,JUL,FT
56733,OZG,L742044,BTW,JUL,PT
56734,DHU,I430081,ADM,DEC,FT
56735,DHU,E695149,ATW,APR,PT
56736,BJZ,Y439655,ATW,JUL,PT
56737,YTE,E415204,ADM,JUL,PT
56738,DHU,B597956,BTW,JAN,PT
56739,ACJ,A035177,ATW,AUG,FT
56740,NLG,X274141,ATW,OCT,FT
56741,ESX,H006317,ATW,MAR,FT
56742,DHU,R427942,ATW,APR,PT
56743,ACJ,Y845408,ATW,JAN,FT
56744,BJZ,G214306,ATW,MAR,PT
56745,NLG,F848779,BTW,OCT,PT
56746,GDP,I488174,BTW,APR,PT
56747,ESO,V876303,BTW,SEP,FT
56748,OZG,I290603,ATW,JAN,FT
56749,YTE,S958295,ATW,MAY,PT
56750,ESO,O815339,ATW,OCT,PT
56751,ESX,A682862,BTW,SEP,FT
56752,GDP,F528404,ATW,NOV,PT
56753,QCU,X869515,ADM,APR,FT
56754,OZG,T275664,BTW,MAR,FT
56755,ESO,D774829,ATW,JUL,PT
56756,ESX,S166915,BTW,MAY,PT
56757,QCU,A549666,BTW,JAN,PT
56758,OZG,U853171,ATW,FEB,PT
56759,BJZ,W146024,ATW,AUG,PT
56760,CLD,R331923,ATW,DEC,PT
56761,DHU,V737014,BTW,NOV,PT
56762,ULO,P473172,ATW,MAY,PT
56763,BJZ,B436732,ATW,FEB,FT
56764,YTE,V674129,ATW,FEB,PT
56765,ACJ,Z193741,ATW,APR,PT
56766,BJZ,H017344,BTW,FEB,FT
56767,ESX,R923180,BTW,SEP,PT
56768,ESO,Y215884,BTW,SEP,FT
56769,AOO,U923502,ATW,DEC,PT
56770,ESO,H778700,ATW,JUN,FT
56771,OZG,E491896,BTW,AUG,FT
56772,QCU,Y645475,BTW,OCT,PT
56773,DOI,H825133,BTW,SEP,PT
56774,ESO,Z681245,ADM,AUG,PT
56775,DHU,H992123,ATW,JUL,PT
56776,BJZ,P130166,BTW,FEB,PT
56777,YTE,Z499421,BTW,SEP,FT
56778,DHU,Y971243,BTW,JAN,PT
56779,OZG,E958081,ATW,MAY,FT
56780,AHS,R219875,ATW,AUG,PT
56781,BJZ,U139751,ADM,SEP,FT
56782,AOO,J378351,BTW,OCT,PT
56783,NLG,R634692,BTW,MAY,PT
56784,OZG,Y214727,BTW,JUN,FT
56785,ULO,Z148512,ATW,JAN,PT
56786,ACJ,J599558,BTW,FEB,PT
56787,CLD,R586790,BTW,MAY,PT
56788,OZG,N328189,BTW,DEC,PT
56789,ESX,M744141,ATW,OCT,PT
56790,NLG,I524007,BTW,JUN,FT
56791,DHU,H242937,BTW,DEC,PT
56792,CLD,X508842,ATW,JUL,PT
56793,ESO,S178071,BTW,JAN,FT
56794,LNX,A906874,ATW,DEC,PT
56795,DOI,R429267,BTW,AUG,FT
56796,QCU,D978936,BTW,NOV,PT
56797,YTE,X289972,BTW,AUG,PT
56798,ESO,V814586,ATW,MAY,PT
56799,ESX,Z878342,BTW,JAN,FT
56800,OZG,M123680,BTW,JUN,PT
56801,YTE,D832447,ATW,OCT,FT
56802,AHS,Z539872,ADM,JAN,PT
56803,ACJ,F330307,BTW,OCT,FT
56804,BJZ,V214336,ATW,NOV,PT
56805,ACJ,V606749,ATW,FEB,FT
56806,AHS,R560904,BTW,FEB,PT
56807,DHU,V114309,ATW,AUG,FT
56808,NLG,O694966,BTW,JAN,PT
56809,ACJ,O549144,BTW,APR,PT
56810,NLG,R307712,ATW,AUG,PT
56811,ESX,W426743,ATW,APR,PT
56812,ACJ,Z026945,BTW,DEC,FT
56813,DOI,P770323,ADM,DEC,PT
56814,DHU,D872800,ATW,FEB,PT
